id.title,title,author,score,genre,popularty,volume,status,type,chapter,favorites,years start,years finish,scored_by,mal_url
134999,Kakushigoto,Sumino Yoru,7.21,"Drama,School",18362,1.0,Finished,Novel,7.0,7,2015.0,2016.0,202.0,https://myanimelist.net/manga.php?q=Kakushigoto&cat=all
122883,Joou Heika no Isekai Strategy,"Iwamoto Eiri,Dai-616 Tokubetsu Jouhou Daitai",7.09,"Action,Fantasy,Isekai,Reincarnation,Video Game",8642,,Publishing,Novel,,35,2018.0,,669.0,https://myanimelist.net/manga.php?q=Joou%20Heika%20no%20Isekai%20Strategy&cat=all
138256,JK Haru wa Isekai de Shoufu ni Natta,Hiratori Kou,7.05,"Fantasy,Erotica,Isekai",21372,1.0,Finished,Novel,14.0,6,2017.0,,191.0,https://myanimelist.net/manga.php?q=JK%20Haru%20wa%20Isekai%20de%20Shoufu%20ni%20Natta&cat=all
118243,Another: Episode S,Ayatsuji Yukito,7.04,"Horror,Mystery,Supernatural,Suspense",26568,1.0,Finished,Novel,11.0,4,2013.0,,115.0,https://myanimelist.net/manga.php?q=Another%3A%20Episode%20S&cat=all
125016,"Uchiage Hanabi, Shita kara Miru ka? Yoko kara Miru ka?","Iwai Shunji,Oone Hitoshi",6.83,"Romance,Sci-Fi",18317,1.0,Finished,Novel,4.0,7,2017.0,,230.0,https://myanimelist.net/manga.php?q=Uchiage%20Hanabi%2C%20Shita%20kara%20Miru%20ka%3F%20Yoko%20kara%20Miru%20ka%3F&cat=all
119038,Juuni Taisen,NISIO ISIN,6.79,"Action,Survival",23848,1.0,Finished,Novel,12.0,6,2015.0,,140.0,https://myanimelist.net/manga.php?q=Juuni%20Taisen&cat=all
142525,Babylon,Nozaki Mado,,"Mystery,Suspense,Psychological",37583,3.0,Finished,Novel,,1,2015.0,2017.0,,https://myanimelist.net/manga.php?q=Babylon&cat=all
124161,Housekishou Richard-shi no Nazo Kantei,Tsujimura Nanako,,"Drama,Mystery,Adult Cast,Workplace",21142,,Publishing,Novel,,29,2015.0,,,https://myanimelist.net/manga.php?q=Housekishou%20Richard-shi%20no%20Nazo%20Kantei&cat=all
94222,Shousetsu Futari wa Precure,Kanehiro Aki,,"Action,Comedy,Fantasy,Mahou Shoujo",35075,1.0,Finished,Novel,6.0,0,2015.0,,,https://myanimelist.net/manga.php?q=Shousetsu%20Futari%20wa%20Precure&cat=all
124376,Kyokou Suiri,Shirodaira Kyou,,"Mystery,Romance,Supernatural,Mythology",26899,,Publishing,Novel,,12,2011.0,,,https://myanimelist.net/manga.php?q=Kyokou%20Suiri&cat=all
145730,Love All Play,Koseki Asami,,"Sports,School",46914,4.0,Finished,Novel,28.0,0,2011.0,2014.0,,https://myanimelist.net/manga.php?q=Love%20All%20Play&cat=all
113335,Kakuriyo no Yadomeshi,Yuuma Midori,,"Gourmet,Supernatural,Mythology",26272,,Publishing,Novel,,5,2015.0,,,https://myanimelist.net/manga.php?q=Kakuriyo%20no%20Yadomeshi&cat=all
136657,Kuraki Kyuuden no Shisha no Ou,"Merontomari,Tsukikage",,"Action,Fantasy",26212,,Publishing,Novel,,3,2019.0,,,https://myanimelist.net/manga.php?q=Kuraki%20Kyuuden%20no%20Shisha%20no%20Ou&cat=all
79165,Drag-On Dragoon 3: Story Side,"Eishima Jun,Yoko Taro",,"Action,Adventure,Fantasy",19792,1.0,Finished,Novel,5.0,12,2014.0,,,https://myanimelist.net/manga.php?q=Drag-On%20Dragoon%203%3A%20Story%20Side&cat=all
12631,Sentou Yousei Yukikaze,Kambayashi Chohei,,"Drama,Sci-Fi,Military,Psychological",23794,,Publishing,Novel,,4,1979.0,,,https://myanimelist.net/manga.php?q=Sentou%20Yousei%20Yukikaze&cat=all
102775,Ginga Eiyuu Densetsu Gaiden,"Michihara Katsumi,Tanaka Yoshiki,Kasahara Akira",,"Action,Drama,Sci-Fi,Military,Space",25604,4.0,Finished,Novel,,2,1986.0,1989.0,,https://myanimelist.net/manga.php?q=Ginga%20Eiyuu%20Densetsu%20Gaiden&cat=all
136319,Kijin Gentoushou,Nakanishi Motoo,,"Action,Adventure,Fantasy",25729,14.0,Finished,Novel,,1,2019.0,2023.0,,https://myanimelist.net/manga.php?q=Kijin%20Gentoushou&cat=all
13586,Loop,Suzuki Koji,,"Horror,Mystery,Sci-Fi",24267,1.0,Finished,Novel,43.0,0,1998.0,,,https://myanimelist.net/manga.php?q=Loop&cat=all
139834,Harmony,Itou Keikaku,,"Sci-Fi,Psychological",38206,1.0,Finished,Novel,5.0,9,2008.0,,,https://myanimelist.net/manga.php?q=Harmony&cat=all
68699,Sakurako-san no Ashimoto ni wa Shitai ga Umatteiru,"Tetsuo,Ota Shiori",,Mystery,9264,17.0,Finished,Novel,,21,2013.0,2021.0,,https://myanimelist.net/manga.php?q=Sakurako-san%20no%20Ashimoto%20ni%20wa%20Shitai%20ga%20Umatteiru&cat=all
114741,Cheer Danshi!!,Asai Ryou,,"Drama,Sports,School",59312,1.0,Finished,Novel,10.0,0,2010.0,,,https://myanimelist.net/manga.php?q=Cheer%20Danshi%21%21&cat=all
15200,Shin Honkaku Mahou Shoujo Risuka,"NISIO ISIN,Nishimura Kinu",,"Action,Fantasy,Mystery,Psychological",17189,4.0,Finished,Novel,13.0,4,2003.0,2020.0,,https://myanimelist.net/manga.php?q=Shin%20Honkaku%20Mahou%20Shoujo%20Risuka&cat=all
116258,Kamisama no Goyounin,Asaba Natsu,,Supernatural,62388,,Publishing,Novel,,0,2013.0,,,https://myanimelist.net/manga.php?q=Kamisama%20no%20Goyounin&cat=all
117445,Little Witch Academia: Detarame Majo to Yousei no Kuni,"Tachibana Momo,Uekura Eku",,"Adventure,Comedy,Fantasy,School",28407,1.0,Finished,Novel,9.0,4,2017.0,,,https://myanimelist.net/manga.php?q=Little%20Witch%20Academia%3A%20Detarame%20Majo%20to%20Yousei%20no%20Kuni&cat=all
117910,"Shaba no ""Futsuu"" wa Muzukashii","Nakamura Satsuki,Mura Karuki",,"Comedy,Fantasy",60758,5.0,Finished,Novel,40.0,0,2018.0,2020.0,,https://myanimelist.net/manga.php?q=Shaba%20no%20%22Futsuu%22%20wa%20Muzukashii&cat=all
119176,Shika no Ou,Uehashi Nahoko,,"Action,Adventure,Fantasy",35866,2.0,Finished,Novel,90.0,3,2014.0,,,https://myanimelist.net/manga.php?q=Shika%20no%20Ou&cat=all
124163,2.43: Seiin Koukou Danshi Volley-bu,Kabei Yukako,,"Sports,School,Team Sports",46657,,Publishing,Novel,,2,2012.0,,,https://myanimelist.net/manga.php?q=2.43%3A%20Seiin%20Koukou%20Danshi%20Volley-bu&cat=all
65987,Shinrei Tantei Yakumo: Another Files,"Kaminaga Manabu,Suzuki Yasushi",,"Mystery,Supernatural",26097,6.0,Finished,Novel,26.0,1,2013.0,2020.0,,https://myanimelist.net/manga.php?q=Shinrei%20Tantei%20Yakumo%3A%20Another%20Files&cat=all
119949,Ankoku Joshi,Akiyoshi Rikako,,"Horror,Mystery,School",30150,1.0,Finished,Novel,8.0,5,2012.0,2013.0,,https://myanimelist.net/manga.php?q=Ankoku%20Joshi&cat=all
124379,Nichijou no Natsuyasumi,"Arawi Keiichi,Izuno Hiranari",,"Comedy,Gag Humor",45142,1.0,Finished,Novel,7.0,0,2014.0,,,https://myanimelist.net/manga.php?q=Nichijou%20no%20Natsuyasumi&cat=all
125108,Psycho-Pass Asylum,Yoshigami Ryou,,"Action,Mystery,Sci-Fi,Detective",42534,2.0,Finished,Novel,,0,2014.0,2014.0,,https://myanimelist.net/manga.php?q=Psycho-Pass%20Asylum&cat=all
119991,Goth: Wristcut Jiken,Otsuichi,,"Horror,Mystery,Psychological",29372,1.0,Finished,Novel,6.0,5,2001.0,2002.0,,https://myanimelist.net/manga.php?q=Goth%3A%20Wristcut%20Jiken&cat=all
131202,Yojouhan Time Machine Blues,Morimi Tomihiko,,"Comedy,Mystery,Romance,Suspense,Psychological,Time Travel",31112,1.0,Finished,Novel,3.0,4,2020.0,,,https://myanimelist.net/manga.php?q=Yojouhan%20Time%20Machine%20Blues&cat=all
131989,Another 2001,Ayatsuji Yukito,,"Horror,Mystery,Supernatural,Suspense",25999,1.0,Finished,Novel,23.0,3,2014.0,2020.0,,https://myanimelist.net/manga.php?q=Another%202001&cat=all
120286,Yotsugogurashi,"Hino Himari,Sakura Oriko",,"Slice of Life,School",54019,,Publishing,Novel,,1,2018.0,,,https://myanimelist.net/manga.php?q=Yotsugogurashi&cat=all
136106,Psycho-Pass Genesis,Yoshigami Ryou,,"Action,Mystery,Sci-Fi,Detective",41497,4.0,Finished,Novel,,0,2015.0,2017.0,,https://myanimelist.net/manga.php?q=Psycho-Pass%20Genesis&cat=all
136859,Meikyuu no Ou,Shienbis,,"Action,Adventure,Fantasy",17594,3.0,Finished,Novel,34.0,1,2019.0,2019.0,,https://myanimelist.net/manga.php?q=Meikyuu%20no%20Ou&cat=all
139829,Gyakusatsu Kikan,Itou Keikaku,,"Action,Sci-Fi,Military,Psychological",34951,1.0,Finished,Novel,6.0,3,2007.0,,,https://myanimelist.net/manga.php?q=Gyakusatsu%20Kikan&cat=all
47100,Ubume no Natsu,Kyougoku Natsuhiko,,"Horror,Mystery,Supernatural",26675,1.0,Finished,Novel,7.0,4,1994.0,,,https://myanimelist.net/manga.php?q=Ubume%20no%20Natsu&cat=all
140022,Maou no Utsuwa,Tsukino Ayato,,"Action,Adventure,Fantasy",61816,3.0,Finished,Novel,17.0,0,2017.0,2018.0,,https://myanimelist.net/manga.php?q=Maou%20no%20Utsuwa&cat=all
142718,Cross Road: In Their Cases,"Shinkai Makoto,Kiriyama Naruto",,"Slice of Life,School",41909,1.0,Finished,Novel,8.0,0,2014.0,,,https://myanimelist.net/manga.php?q=Cross%20Road%3A%20In%20Their%20Cases&cat=all
145149,D Genesis: Dungeon ga Dekite 3-nen,Kono Tsuranori,,"Adventure,Fantasy",41685,,Publishing,Novel,,4,2020.0,,,https://myanimelist.net/manga.php?q=D%20Genesis%3A%20Dungeon%20ga%20Dekite%203-nen&cat=all
145695,Koukyuu no Karasu,Shirakawa Kouko,,"Fantasy,Historical",12101,7.0,Finished,Novel,27.0,19,2018.0,2022.0,,https://myanimelist.net/manga.php?q=Koukyuu%20no%20Karasu&cat=all
150147,Kekkaishi no Ichirinka,Kureha,,"Romance,Supernatural",38364,,Publishing,Novel,,0,2021.0,,,https://myanimelist.net/manga.php?q=Kekkaishi%20no%20Ichirinka&cat=all
141389,Kanojo ga Suki na Mono wa Homo de Atte Boku dewa Nai,Asahara Naoto,,"Drama,School",56582,1.0,Finished,Novel,9.0,1,2018.0,,,https://myanimelist.net/manga.php?q=Kanojo%20ga%20Suki%20na%20Mono%20wa%20Homo%20de%20Atte%20Boku%20dewa%20Nai&cat=all
128042,Kyoto Teramachi Sanjou no Holmes,Mochizuki Mai,,"Drama,Mystery,Detective,Romantic Subtext",40782,,Publishing,Novel,,6,2015.0,,,https://myanimelist.net/manga.php?q=Kyoto%20Teramachi%20Sanjou%20no%20Holmes&cat=all
152453,Shousetsu Cider no You ni Kotoba ga Wakiagaru,Ishiguro Kyouhei,,Slice of Life,42744,1.0,Finished,Novel,8.0,0,2020.0,,,https://myanimelist.net/manga.php?q=Shousetsu%20Cider%20no%20You%20ni%20Kotoba%20ga%20Wakiagaru&cat=all
154990,"Kumo no Mukou, Yakusoku no Basho",Kanou Arata,,"Drama,Romance,Sci-Fi,Military",47292,1.0,Finished,Novel,4.0,0,2005.0,,,https://myanimelist.net/manga.php?q=Kumo%20no%20Mukou%2C%20Yakusoku%20no%20Basho&cat=all
146690,Baraou no Souretsu: Original Novel - Itsutsu no Makuai,Makusu You,,"Slice of Life,Supernatural,Historical",58121,1.0,Finished,Novel,5.0,0,2021.0,,,https://myanimelist.net/manga.php?q=Baraou%20no%20Souretsu%3A%20Original%20Novel%20-%20Itsutsu%20no%20Makuai&cat=all
155934,Gigantis,Komori Yoichi,,"Action,Horror,Sci-Fi",60081,1.0,Finished,Novel,15.0,0,2021.0,,,https://myanimelist.net/manga.php?q=Gigantis&cat=all
139413,Colorful,Mori Eto,,"Drama,Slice of Life,Supernatural",32363,1.0,Finished,Novel,17.0,1,1998.0,,,https://myanimelist.net/manga.php?q=Colorful&cat=all
114260,Shiki,Ono Fuyumi,,"Horror,Mystery,Supernatural,Suspense,Psychological,Vampire",30999,2.0,Finished,Novel,49.0,3,1998.0,,,https://myanimelist.net/manga.php?q=Shiki&cat=all
126738,Hakata Tonkotsu Ramens,"Ichiiro Hako,Kisaki Chiaki",,"Action,Mystery",32225,,Publishing,Novel,,4,2014.0,,,https://myanimelist.net/manga.php?q=Hakata%20Tonkotsu%20Ramens&cat=all
136395,Cake Ouji no Spécialité,Nanatsuki Takafumi,,Romance,60003,,Publishing,Novel,,0,2015.0,,,https://myanimelist.net/manga.php?q=Cake%20Ouji%20no%20Sp%C3%A9cialit%C3%A9&cat=all
139596,Hibana,Matayoshi Naoki,,"Comedy,Drama,Performing Arts,Showbiz",67147,1.0,Finished,Novel,,0,2015.0,,,https://myanimelist.net/manga.php?q=Hibana&cat=all
127160,Hibike! Euphonium Series: Rikka Koukou Marching Band e Youkoso,"Asada Nikki,Takeda Ayano",,"Drama,Music,School",35245,2.0,Finished,Novel,11.0,2,2016.0,2016.0,,https://myanimelist.net/manga.php?q=Hibike%21%20Euphonium%20Series%3A%20Rikka%20Koukou%20Marching%20Band%20e%20Youkoso&cat=all
149622,Qian Qiu,Meng Xi Shi,,"Action,Fantasy,Historical,Martial Arts",26229,4.0,Finished,Novel,,20,2018.0,2018.0,,https://myanimelist.net/manga.php?q=Qian%20Qiu&cat=all
154833,The Villainess Turns the Hourglass,Sansobee,,"Fantasy,Time Travel",44276,4.0,Finished,Novel,27.0,2,2018.0,,,https://myanimelist.net/manga.php?q=The%20Villainess%20Turns%20the%20Hourglass&cat=all
127177,Shousetsu Hirune Hime: Shiranai Watashi no Monogatari,Kamiyama Kenji,,"Adventure,Fantasy,Sci-Fi,Mecha",32069,1.0,Finished,Novel,4.0,0,2017.0,,,https://myanimelist.net/manga.php?q=Shousetsu%20Hirune%20Hime%3A%20Shiranai%20Watashi%20no%20Monogatari&cat=all
